name,description,price,image_url,category
HP Pavilion 15","15.6-inch laptop with Intel Core i5, 8GB RAM, 512GB SSD. Ideal for work and study.",650000,"https://via.placeholder.com/400x300.png?text=HP+Pavilion+15","c83382f1-51d2-4d62-9173-713132928acb"
Dell Inspiron 14","Compact and powerful laptop with Intel Core i5, 8GB RAM, 256GB SSD.",620000,"https://via.placeholder.com/400x300.png?text=Dell+Inspiron+14","c83382f1-51d2-4d62-9173-713132928acb"
Lenovo ThinkPad X1 Carbon","Premium business laptop with Intel Core i7, 16GB RAM, 1TB SSD.",1250000,"https://via.placeholder.com400x300.png?text=ThinkPad+X1+Carbon","c83382f1-51d2-4d62-9173-713132928acb"
Apple MacBook Air M1","13-inch MacBook Air with Apple M1 chip, 8GB RAM, 256GB SSD.",1150000,"https://via.placeholder.com/400x300.png?text=MacBook+Air+M1","c83382f1-51d2-4d62-9173-713132928acb"
ASUS VivoBook 15","Affordable laptop with Intel Core i3, 8GB RAM, 256GB SSD.",480000,"https://via.placeholder.com/400x300.png?text=ASUS+VivoBook+15","c83382f1-51d2-4d62-9173-713132928acb"
Acer Aspire 5","Slim laptop with AMD Ryzen 5, 8GB RAM, 512GB SSD.",520000,"https://via.placeholder.com/400x300.png?text=Acer+Aspire+5","c83382f1-51d2-4d62-9173-713132928acb"
Microsoft Surface Laptop 4","13.5-inch touchscreen laptop with Intel Core i5, 8GB RAM.",980000,"https://via.placeholder.com/400x300.png?text=Surface+Laptop+4","c83382f1-51d2-4d62-9173-713132928acb"
HP EliteBook 840 G7","Enterprise-grade laptop with Intel Core i7, 16GB RAM, 512GB SSD.",890000,"https://via.placeholder.com/400x300.png?text=HP+EliteBook+840","c83382f1-51d2-4d62-9173-713132928acb"
Dell XPS 13","Ultra-thin premium laptop with Intel Core i7, 16GB RAM.",1350000,"https://via.placeholder.com/400x300.png?text=Dell+XPS+13","c83382f1-51d2-4d62-9173-713132928acb"
Lenovo IdeaPad 3","Entry-level laptop with Intel Core i3, 4GB RAM, 1TB HDD.",350000,"https://via.placeholder.com/400x300.png?text=Lenovo+IdeaPad+3","c83382f1-51d2-4d62-9173-713132928acb"
